Area,Location,No. of Bedrooms,City,CarParking,SwimmingPool,24X7Security,LiftAvailable,ClubHouse,Price
1616,45,3.0,0,1.0,1.0,1.0,1.0,1.0,8500000.0
1541,214,3.0,0,0.0,1.0,1.0,1.0,1.0,9000000.0
1515,681,3.0,0,0.0,1.0,0.0,1.0,1.0,9300000.0
1690,672,3.0,0,0.0,1.0,1.0,1.0,1.0,11000000.0
1770,86,3.0,0,1.0,1.0,1.0,1.0,1.0,18000000.0
3012,86,4.0,0,1.0,1.0,1.0,1.0,1.0,29300000.0
2370,86,3.0,0,1.0,1.0,1.0,1.0,1.0,22799999.0
700,489,1.0,0,0.0,0.0,0.0,0.0,0.0,3200000.0
700,489,1.0,0,0.0,0.0,0.0,0.0,0.0,3200000.0
1335,231,2.0,0,0.0,0.0,0.0,1.0,1.0,11000000.0
1690,634,3.0,0,0.0,1.0,0.0,1.0,1.0,9800000.0
4282,229,4.0,0,1.0,1.0,1.0,1.0,1.0,42500000.0
1500,517,3.0,0,1.0,1.0,1.0,1.0,1.0,13500000.0
1880,231,3.0,0,0.0,0.0,0.0,1.0,1.0,15600000.0
1985,517,3.0,0,1.0,1.0,1.0,1.0,1.0,18900000.0
1795,517,2.0,0,1.0,1.0,1.0,1.0,1.0,15400000.0
1410,517,2.0,0,1.0,1.0,1.0,1.0,1.0,12300000.0
1042,232,2.0,0,1.0,1.0,1.0,1.0,1.0,6845999.000000001
1408,232,3.0,0,1.0,1.0,1.0,1.0,1.0,9173000.0
1455,232,3.0,0,1.0,1.0,1.0,1.0,1.0,9471000.0
1105,232,2.0,0,1.0,1.0,1.0,1.0,1.0,7247000.0
1120,26,2.0,0,0.0,0.0,0.0,1.0,0.0,5599000.0
1345,517,1.0,0,1.0,1.0,1.0,1.0,1.0,11800000.0
1107,213,2.0,0,0.0,0.0,1.0,1.0,0.0,4815000.0
1122,213,2.0,0,0.0,0.0,1.0,1.0,0.0,4880000.0
1161,213,2.0,0,0.0,0.0,1.0,1.0,0.0,5050000.0
1062,213,2.0,0,0.0,0.0,1.0,1.0,0.0,4619000.0
1100,213,2.0,0,0.0,0.0,1.0,1.0,0.0,4785000.0
1143,213,2.0,0,0.0,0.0,1.0,1.0,0.0,4972000.0
1089,213,2.0,0,0.0,0.0,1.0,1.0,0.0,4737000.0
1116,213,2.0,0,0.0,0.0,1.0,1.0,0.0,4854000.0
3033,63,4.0,0,1.0,1.0,1.0,1.0,1.0,28300000.0
2378,63,3.0,0,1.0,1.0,1.0,1.0,1.0,21400000.0
2522,63,3.0,0,1.0,1.0,1.0,1.0,1.0,23500000.0
3205,63,4.0,0,1.0,1.0,1.0,1.0,1.0,29900000.0
1376,493,2.0,0,1.0,1.0,1.0,1.0,1.0,9200000.0
1168,493,2.0,0,1.0,1.0,1.0,1.0,1.0,8000000.0
1373,493,2.0,0,1.0,1.0,1.0,1.0,1.0,9200000.0
1168,493,2.0,0,1.0,1.0,1.0,1.0,1.0,8000000.0
1168,493,2.0,0,1.0,1.0,1.0,1.0,1.0,8000000.0
1376,493,2.0,0,1.0,1.0,1.0,1.0,1.0,9300000.0
1168,493,2.0,0,1.0,1.0,1.0,1.0,1.0,7900000.0
1376,493,2.0,0,1.0,1.0,1.0,1.0,1.0,9200000.0
1373,493,2.0,0,1.0,1.0,1.0,1.0,1.0,9100000.0
1373,493,2.0,0,1.0,1.0,1.0,1.0,1.0,9000000.0
1168,493,2.0,0,1.0,1.0,1.0,1.0,1.0,7900000.0
1160,493,2.0,0,1.0,1.0,1.0,1.0,1.0,7900000.0
1168,493,2.0,0,1.0,1.0,1.0,1.0,1.0,8000000.0
1160,493,2.0,0,1.0,1.0,1.0,1.0,1.0,7800000.0
1373,493,2.0,0,1.0,1.0,1.0,1.0,1.0,9200000.0
1376,493,2.0,0,1.0,1.0,1.0,1.0,1.0,9100000.0
1373,493,2.0,0,1.0,1.0,1.0,1.0,1.0,9100000.0
1373,493,2.0,0,1.0,1.0,1.0,1.0,1.0,9000000.0
1168,493,2.0,0,1.0,1.0,1.0,1.0,1.0,7900000.0
1373,493,2.0,0,1.0,1.0,1.0,1.0,1.0,8800000.0
1140,281,3.0,0,1.0,1.0,0.0,1.0,0.0,3990000.0
1149,281,3.0,0,1.0,1.0,0.0,1.0,0.0,4021000.0
1168,281,3.0,0,1.0,1.0,0.0,1.0,0.0,4088000.0000000005
